interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,fa10-01-35,2010-10-07 20:44:30,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-10-08 11:56:00,,
call,out,fa10-01-35,2010-10-08 13:38:03,,
call,out,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-10-08 13:39:09,,
call,out,9261c80d87c5549bff1535fa78bba5ad52e82a87,2010-10-08 13:45:29,,
call,in,fa10-01-35,2010-10-08 17:26:55,,
call,in,fa10-01-35,2010-10-08 18:05:16,,
call,in,fa10-01-35,2010-10-08 18:21:10,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-10-08 18:34:33,,
call,in,fa10-01-35,2010-10-08 18:49:08,,
call,in,fa10-01-35,2010-10-08 19:50:00,,
call,out,fa10-01-35,2010-10-14 10:52:42,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-10-15 11:09:04,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-10-15 11:11:51,,
call,out,fa10-01-35,2010-10-16 15:44:38,,
call,out,37086751568c72448537a618612381ea8cca62b1,2010-10-16 20:10:04,,
call,out,37086751568c72448537a618612381ea8cca62b1,2010-10-16 20:09:50,,
call,out,fa10-01-35,2010-10-25 10:38:26,,
call,out,fa10-01-35,2010-10-25 23:28:34,,
call,in,fa10-01-35,2010-10-27 15:10:31,,
call,in,fa10-01-35,2010-10-27 15:10:23,,
call,out,fa10-01-35,2010-10-27 15:22:56,,
call,out,fa10-01-35,2010-10-29 10:16:08,,
call,out,fa10-01-35,2010-10-29 10:15:38,,
call,out,23e658b2ca6eea56e7544fdd29cc087747a722ce,2010-10-29 15:30:19,,
call,in,fa10-01-35,2010-10-29 16:00:34,,
call,out,fa10-01-35,2010-10-30 13:59:04,,
call,in,fa10-01-35,2010-10-30 15:19:16,,
call,out,fa10-01-35,2010-10-30 16:37:53,,
call,in,c2ca90555a45712f30abba84944689542b51e15e,2010-10-30 21:07:48,,
call,out,2345a047a0e5d6e7d572461bcc75992181b98b22,2010-10-30 21:04:47,,
call,out,2345a047a0e5d6e7d572461bcc75992181b98b22,2010-10-30 21:03:59,,
call,out,fa10-01-35,2010-10-30 18:38:24,,
call,out,fa10-01-35,2010-10-30 18:32:20,,
call,out,fa10-01-35,2010-10-30 18:14:28,,
call,out,fa10-01-35,2010-10-30 17:49:29,,
call,out,2345a047a0e5d6e7d572461bcc75992181b98b22,2010-10-31 09:47:23,,
call,in,24a7371b185e8b39cc40ced658b1e16ea9e9d3ed,2010-10-31 11:27:23,,
call,out,fa10-01-35,2010-10-31 11:31:56,,
call,out,b5ac06c6b45e9f82682085e0852ad8d1cf9f77f1,2010-10-31 11:31:36,,
call,out,fa10-01-35,2010-10-31 13:00:55,,
call,out,fa10-01-35,2010-10-31 12:59:44,,
call,out,fa10-01-35,2010-10-31 15:09:05,,
call,out,fb367bc7f645d3fb0773b8271dda913e8e5bdff2,2010-11-01 17:04:02,,
call,out,2345a047a0e5d6e7d572461bcc75992181b98b22,2010-11-01 15:20:45,,
call,out,fa10-01-35,2010-11-01 15:19:57,,
call,out,fb367bc7f645d3fb0773b8271dda913e8e5bdff2,2010-11-01 15:16:40,,
call,out,fb367bc7f645d3fb0773b8271dda913e8e5bdff2,2010-11-01 13:22:21,,
call,in,fa10-01-35,2010-11-01 12:09:27,,
call,in,fa10-01-35,2010-11-01 12:08:01,,
call,out,a7162606130a297db4fc74bcf40298a93faad34d,2010-11-03 12:02:24,,
call,out,a7162606130a297db4fc74bcf40298a93faad34d,2010-11-03 12:02:18,,
call,out,a7162606130a297db4fc74bcf40298a93faad34d,2010-11-03 12:03:54,,
call,in,fa10-01-35,2010-11-03 19:38:07,,
call,out,fa10-01-36,2010-11-03 19:35:04,,
call,out,8c8a274f989d96bb4ce258ad85323251c79bea40,2010-11-03 19:34:58,,
call,in,fa10-01-35,2010-11-03 19:20:05,,
call,out,37086751568c72448537a618612381ea8cca62b1,2010-11-03 19:10:42,,
call,in,fa10-01-35,2010-11-03 18:07:49,,
call,out,fa10-01-36,2010-11-03 18:06:08,,
call,out,fa10-01-36,2010-11-03 18:05:26,,
call,out,fa10-01-36,2010-11-03 18:03:23,,
call,out,fa10-01-36,2010-11-03 18:03:02,,
call,out,8c8a274f989d96bb4ce258ad85323251c79bea40,2010-11-03 18:02:56,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-03 13:30:41,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-03 13:14:59,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-03 13:00:45,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-03 12:48:45,,
call,out,20c7e1c9665c74d5a8b358d6136a8016b2f84dec,2010-11-03 12:07:27,,
call,out,32f3a88dccc1b76452bcf0e7a131209ef4abf531,2010-11-03 12:05:05,,
call,out,fa10-01-35,2010-11-03 23:11:09,,
call,out,fa10-01-35,2010-11-03 23:11:45,,
call,out,fa10-01-35,2010-11-03 23:15:25,,
call,in,fa10-01-35,2010-11-03 23:16:36,,
call,out,fa10-01-35,2010-11-03 23:36:39,,
call,out,fa10-01-35,2010-11-04 08:53:44,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-04 08:31:11,,
call,in,fa10-01-35,2010-11-04 13:56:21,,
call,in,fa10-01-35,2010-11-04 12:49:36,,
call,out,fa10-01-35,2010-11-04 12:47:15,,
call,out,f97ac97c39178ff03d4319338dc5f286b968aa17,2010-11-04 20:37:22,,
call,in,fa10-01-35,2010-11-04 20:17:48,,
call,out,fa10-01-35,2010-11-04 20:05:25,,
call,in,fa10-01-35,2010-11-04 20:01:43,,
call,in,fa10-01-35,2010-11-04 19:35:26,,
call,in,f97ac97c39178ff03d4319338dc5f286b968aa17,2010-11-04 18:56:31,,
call,in,fa10-01-35,2010-11-04 17:23:45,,
call,in,fa10-01-35,2010-11-05 09:49:15,,
call,out,fa10-01-35,2010-11-05 12:13:04,,
call,out,4b3b2849d0a4cd2ec3eddb5baa2fc4e1893c643c,2010-11-05 12:11:37,,
call,out,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-05 12:06:01,,
call,out,fa10-01-35,2010-11-05 12:04:08,,
call,out,fa10-01-35,2010-11-05 21:01:50,,
call,out,fa10-01-35,2010-11-05 21:00:55,,
call,out,fa10-01-35,2010-11-05 16:17:41,,
call,out,f0d3ae1975c5ae8d245d03ba88496ce2b36d2355,2010-11-05 12:28:42,,
call,out,f0d3ae1975c5ae8d245d03ba88496ce2b36d2355,2010-11-05 12:28:20,,
call,out,fa10-01-35,2010-11-05 12:24:25,,
call,out,fa10-01-35,2010-11-05 12:24:21,,
call,out,fa10-01-36,2010-11-05 12:19:33,,
call,out,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-06 15:07:16,,
call,in,fa10-01-35,2010-11-06 14:46:40,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-06 14:44:11,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-06 14:43:33,,
call,in,fa10-01-35,2010-11-06 12:17:50,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-06 15:22:17,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 11:03:02,,
call,in,fa10-01-35,2010-11-07 10:50:26,,
call,out,2693e6f105b7209127e9dc77d1c293317af1cd38,2010-11-07 14:03:43,,
call,out,2693e6f105b7209127e9dc77d1c293317af1cd38,2010-11-07 14:00:53,,
call,out,eec125c1c0455c4a125191bbfece40f481580789,2010-11-07 13:42:06,,
call,out,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 13:41:18,,
call,out,f97ac97c39178ff03d4319338dc5f286b968aa17,2010-11-07 13:38:13,,
call,out,f97ac97c39178ff03d4319338dc5f286b968aa17,2010-11-07 13:37:22,,
call,in,fa10-01-35,2010-11-07 12:39:55,,
call,out,fa10-01-35,2010-11-07 12:37:40,,
call,in,fa10-01-35,2010-11-07 12:05:13,,
call,out,2345a047a0e5d6e7d572461bcc75992181b98b22,2010-11-07 15:02:13,,
call,out,fa10-01-35,2010-11-07 15:01:31,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 14:25:22,,
call,out,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 14:25:16,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 14:25:06,,
call,in,e8571d7cc7fe398194c6fe02ca8511caa67d3c95,2010-11-07 15:24:42,,
call,in,fa10-01-35,2010-11-08 17:03:22,,
call,in,fa10-01-35,2010-11-08 13:58:39,,
call,in,fa10-01-35,2010-11-09 18:19:58,,
call,out,fa10-01-35,2010-11-10 10:49:31,,
call,in,a652af11aade7e1613a325b87c2caf8c6688a6a,2010-11-10 23:08:21,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-11 17:40:18,,
call,out,1ca88ed797435781686b6c2f2deedf36731e7a5f,2010-11-11 11:16:08,,
call,out,cf7a22c43e330e473cfbe4f7f3da92782198dd85,2010-11-11 11:15:58,,
call,in,fa10-01-35,2010-11-11 21:32:11,,
call,in,fa10-01-35,2010-11-12 12:21:27,,
call,out,fa10-01-35,2010-11-12 11:56:12,,
call,out,fa10-01-35,2010-11-12 14:49:36,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-12 13:10:36,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-12 19:18:22,,
call,out,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-12 19:17:10,,
call,out,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-12 19:16:33,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-12 19:14:23,,
call,out,fa10-01-35,2010-11-12 17:42:49,,
call,out,fa10-01-35,2010-11-12 17:41:55,,
call,out,fa10-01-35,2010-11-12 17:41:38,,
call,in,fa10-01-35,2010-11-12 16:49:27,,
call,in,fa10-01-35,2010-11-12 16:19:46,,
call,out,fa10-01-35,2010-11-12 16:15:18,,
call,out,fa10-01-35,2010-11-12 16:14:29,,
call,in,fa10-01-35,2010-11-12 15:04:40,,
call,out,f4273c5faa8a1d63c428f08e6980e0e0106e9261,2010-11-13 13:37:10,,
call,in,fa10-01-35,2010-11-14 00:15:00,,
call,out,fa10-01-35,2010-11-14 00:14:13,,
call,out,fa10-01-35,2010-11-13 22:00:17,,
call,out,fa10-01-35,2010-11-13 21:59:35,,
call,out,fa10-01-35,2010-11-13 21:59:09,,
call,in,1423c51db1e28f19a1d70329e29b8976201d2d6f,2010-11-13 18:14:58,,
call,out,a9b57c484f868d07e81000abce036691e9b76bd3,2010-11-14 21:19:33,,
call,in,fa10-01-35,2010-11-15 12:27:30,,
call,in,fa10-01-35,2010-11-15 12:20:29,,
call,out,fa10-01-35,2010-11-15 12:19:34,,
call,out,90f124454c2a4b607d78fa56b843b2d79efef7c,2010-11-15 11:26:27,,
call,out,e9649c3cc1bd3f8fdd945c944cb221316cbdcba,2010-11-15 11:23:41,,
call,out,e62e21840afefe8ec8beaf40954bf07aa4183f66,2010-11-15 11:15:41,,
call,out,85fba6aa2bc7beeb6111e9e339c0a59faddd1b70,2010-11-15 22:03:29,,
call,out,85fba6aa2bc7beeb6111e9e339c0a59faddd1b70,2010-11-15 22:01:29,,
call,out,85fba6aa2bc7beeb6111e9e339c0a59faddd1b70,2010-11-15 21:57:53,,
call,out,fa10-01-35,2010-11-15 18:18:21,,
call,in,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-15 17:31:20,,
call,out,fa10-01-35,2010-11-15 17:11:50,,
call,out,fa10-01-35,2010-11-15 17:11:30,,
call,in,fa10-01-35,2010-11-16 12:52:46,,
call,in,fa10-01-35,2010-11-16 20:46:26,,
call,in,fa10-01-35,2010-11-16 16:53:34,,
call,in,6dea6432e181ad8c1924f9d3620e1ae2e5542ad2,2010-11-16 16:28:02,,
call,in,fa10-01-35,2010-11-16 13:09:10,,
call,out,fa10-01-35,2010-11-16 21:29:01,,
call,out,fa10-01-35,2010-11-17 18:21:08,,
call,out,fa10-01-35,2010-11-17 18:20:54,,
call,out,fa10-01-36,2010-11-17 18:20:45,,
call,out,fa10-01-35,2010-11-17 13:13:47,,
call,in,fa10-01-35,2010-11-17 20:20:15,,
call,out,fa10-01-35,2010-11-18 17:32:29,,
call,out,fa10-01-35,2010-11-18 17:06:58,,
call,out,85fba6aa2bc7beeb6111e9e339c0a59faddd1b70,2010-11-20 22:23:47,,
call,out,fa10-01-35,2010-11-20 17:42:19,,
call,out,8ab1302b42c5123309863047020b8740dff1601b,2010-11-20 16:14:38,,
call,in,fa10-01-35,2010-11-21 20:55:57,,
call,in,fa10-01-35,2010-11-22 17:53:25,,
call,out,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-22 15:42:34,,
call,out,fa10-01-35,2010-11-22 23:53:16,,
call,out,fa10-01-35,2010-11-22 19:47:17,,
call,in,fa10-01-35,2010-11-23 16:33:33,,
call,in,fa10-01-35,2010-11-23 11:33:03,,
call,in,fa10-01-35,2010-11-23 11:32:13,,
call,out,fa10-01-35,2010-11-23 11:08:24,,
call,in,fa10-01-35,2010-11-23 17:13:56,,
call,out,fa10-01-35,2010-11-23 17:13:40,,
call,out,fa10-01-35,2010-11-23 17:13:02,,
call,out,fa10-01-35,2010-11-23 17:37:01,,
call,out,fa10-01-35,2010-11-23 17:33:33,,
call,out,fa10-01-35,2010-11-24 15:00:18,,
call,out,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-24 14:59:35,,
call,out,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-24 11:28:36,,
call,out,fa10-01-35,2010-11-24 15:29:40,,
call,in,fa10-01-35,2010-11-24 15:29:09,,
call,out,fd2586c951775a0fa5d172ea884018e3c7796fea,2010-11-25 11:15:30,,
call,in,23e658b2ca6eea56e7544fdd29cc087747a722ce,2010-11-25 11:10:22,,
call,out,23e658b2ca6eea56e7544fdd29cc087747a722ce,2010-11-25 11:03:42,,
call,out,e9649c3cc1bd3f8fdd945c944cb221316cbdcba,2010-11-26 09:37:47,,
call,out,8aa3a1327b6ba46819d08f6ee3d4eaaa5f38a120,2010-11-26 09:23:57,,
call,out,ccfd158f569f39dc573ef3e03b71df0bb977140b,2010-11-26 09:17:13,,
call,out,fd2586c951775a0fa5d172ea884018e3c7796fea,2010-11-26 09:16:24,,
call,out,e9649c3cc1bd3f8fdd945c944cb221316cbdcba,2010-11-26 09:12:55,,
call,out,fa10-01-35,2010-11-26 18:32:09,,
call,out,fa10-01-35,2010-11-26 18:25:28,,
call,in,fa10-01-35,2010-11-26 17:55:43,,
call,in,fa10-01-35,2010-11-26 16:07:43,,
call,in,fa10-01-35,2010-11-26 15:10:00,,
call,out,fa10-01-35,2010-11-26 13:28:19,,
call,in,fa10-01-35,2010-11-28 18:43:18,,
call,in,fa10-01-35,2010-11-28 18:40:26,,
call,out,fa10-01-35,2010-11-28 18:37:31,,
call,out,fa10-01-35,2010-11-28 18:24:19,,
call,out,fa10-01-35,2010-11-28 17:49:59,,
call,out,fa10-01-35,2010-11-28 17:18:17,,
call,out,fa10-01-35,2010-11-28 17:16:09,,
call,in,fa10-01-35,2010-11-28 15:19:46,,
call,out,fa10-01-35,2010-11-28 09:44:31,,
call,out,23e658b2ca6eea56e7544fdd29cc087747a722ce,2010-11-28 09:35:48,,
call,out,422e076e52f0f0ecc078b237f7305b63df026d84,2010-11-29 18:48:49,,
call,out,fa10-01-35,2010-11-29 18:47:46,,
call,in,fa10-01-35,2010-11-29 16:40:05,,
call,out,fa10-01-35,2010-11-30 17:41:20,,
call,in,fa10-01-35,2010-11-30 17:32:58,,
call,in,fa10-01-35,2010-11-30 17:30:47,,
call,out,fa10-01-35,2010-11-30 16:58:31,,
