interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,fa10-01-27,2010-10-05 13:31:37,,
call,out,fa10-01-27,2010-10-05 16:49:33,,
call,out,fa10-01-27,2010-10-05 17:48:14,,
call,in,fa10-01-27,2010-10-05 17:57:38,,
call,in,fa10-01-27,2010-10-05 18:24:21,,
call,out,fa10-01-27,2010-10-05 20:43:30,,
call,out,fa10-01-27,2010-10-05 21:30:50,,
call,out,fa10-01-27,2010-10-05 21:43:17,,
call,out,fa10-01-27,2010-10-05 21:59:42,,
call,in,fa10-01-27,2010-10-06 14:26:00,,
call,in,fa10-01-27,2010-10-06 16:06:05,,
call,out,fa10-01-27,2010-10-07 09:53:33,,
call,out,fa10-01-27,2010-10-07 09:52:49,,
call,out,fa10-01-27,2010-10-07 11:57:16,,
call,out,fa10-01-27,2010-10-07 11:45:35,,
call,out,fa10-01-27,2010-10-07 12:04:56,,
call,out,fa10-01-27,2010-10-07 12:00:16,,
call,out,fa10-01-27,2010-10-07 13:06:26,,
call,in,fa10-01-27,2010-10-07 13:05:44,,
call,in,fa10-01-27,2010-10-08 15:17:20,,
call,out,fa10-01-27,2010-10-08 15:17:16,,
call,in,fa10-01-27,2010-10-08 15:16:48,,
call,out,fa10-01-27,2010-10-08 15:15:02,,
call,in,fa10-01-27,2010-10-08 15:46:38,,
call,out,fa10-01-04,2010-10-08 23:57:08,,
call,in,1cf0a9d0471d09e8b5832c80189d5b09d2d17ad6,2010-10-10 17:44:59,,
call,out,bf840f5f8daa6c23937c542b14d0bef3be94b6f6,2010-10-12 15:32:53,,
call,out,dacfc777e81569b93e4a1633cfc4916fa1a20a49,2010-10-12 15:29:23,,
call,out,dacfc777e81569b93e4a1633cfc4916fa1a20a49,2010-10-12 15:26:53,,
call,out,bf840f5f8daa6c23937c542b14d0bef3be94b6f6,2010-10-12 15:50:36,,
call,out,fa10-01-04,2010-10-12 16:50:28,,
call,out,fa10-01-04,2010-10-12 16:48:43,,
call,out,fa10-01-27,2010-10-12 21:31:02,,
call,out,fa10-01-27,2010-10-12 22:08:05,,
call,out,fa10-01-27,2010-10-12 22:06:39,,
call,out,fa10-01-04,2010-10-12 22:06:15,,
call,out,fa10-01-27,2010-10-12 22:05:42,,
call,out,fa10-01-27,2010-10-12 23:01:52,,
call,out,fa10-01-27,2010-10-12 23:40:50,,
call,out,fa10-01-27,2010-10-12 23:40:18,,
call,out,fa10-01-27,2010-10-12 23:27:08,,
call,in,fa10-01-27,2010-10-14 18:12:59,,
call,out,fa10-01-27,2010-10-14 17:29:25,,
call,out,fa10-01-27,2010-10-14 17:28:35,,
call,in,fa10-01-27,2010-10-15 16:10:30,,
call,in,fa10-01-27,2010-10-15 15:47:35,,
call,in,fa10-01-27,2010-10-15 15:02:50,,
call,in,fa10-01-27,2010-10-15 15:02:09,,
call,out,1e995707bf7f850203062a0f6ea0a2df8ab40d34,2010-10-16 17:42:21,,
call,out,fa10-01-27,2010-10-17 17:00:53,,
