interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,c77b8d0a3cedcd5c8599ba4d241f3eeb3b166a7d,2010-10-13 10:29:40,,
call,out,fa10-01-77,2010-10-14 20:03:43,,
call,out,fa10-01-77,2010-10-14 20:03:29,,
call,out,4bb03f0d7f31964f775213214dfcaefb46cf9963,2010-10-14 22:09:29,,
call,out,fa10-01-77,2010-10-14 23:43:47,,
call,out,fa10-01-77,2010-10-14 23:45:49,,
call,out,fa10-01-77,2010-10-15 17:58:16,,
call,out,fa10-01-77,2010-10-15 18:03:53,,
call,in,3d6276c805795e1007a8049c64b36f9e815b822a,2010-10-15 19:26:49,,
call,out,fa10-01-77,2010-10-15 19:33:30,,
call,out,fa10-01-77,2010-10-16 11:35:31,,
call,out,3d6276c805795e1007a8049c64b36f9e815b822a,2010-10-16 11:36:47,,
call,in,fa10-01-77,2010-10-17 19:25:14,,
call,out,fa10-01-77,2010-10-19 16:04:57,,
call,in,fa10-01-77,2010-10-19 16:09:45,,
call,out,fa10-01-77,2010-10-21 18:58:59,,
call,out,fa10-01-77,2010-10-21 19:04:32,,
call,in,fa10-01-77,2010-10-26 17:27:21,,
call,in,3d6276c805795e1007a8049c64b36f9e815b822a,2010-10-26 17:28:29,,
call,in,fa10-01-77,2010-10-28 17:31:01,,
call,out,fa10-01-77,2010-10-30 11:02:23,,
call,out,fa10-01-77,2010-10-30 11:03:41,,
call,in,fa10-01-77,2010-10-31 19:15:48,,
call,out,fa10-01-77,2010-10-31 19:21:04,,
call,out,fa10-01-77,2010-11-01 18:54:12,,
call,out,fa10-01-77,2010-11-01 18:54:59,,
call,in,fa10-01-77,2010-11-01 18:59:56,,
call,out,fa10-01-77,2010-11-01 22:09:49,,
call,in,fa10-01-77,2010-11-01 22:11:20,,
call,in,fa10-01-77,2010-11-01 22:40:39,,
call,in,fa10-01-77,2010-11-02 16:28:23,,
call,out,fa10-01-77,2010-11-02 19:44:44,,
call,out,fa10-01-77,2010-11-02 19:45:30,,
call,out,fa10-01-77,2010-11-04 10:49:26,,
call,out,fa10-01-77,2010-11-04 22:39:31,,
call,in,fa10-01-77,2010-11-04 17:56:45,,
call,in,fa10-01-77,2010-11-04 17:52:51,,
call,out,fa10-01-77,2010-11-04 17:37:38,,
call,in,fa10-01-77,2010-11-04 13:20:41,,
call,in,fa10-01-77,2010-11-04 12:40:33,,
call,out,fa10-01-77,2010-11-04 12:39:50,,
call,out,fa10-01-77,2010-11-04 12:39:38,,
call,out,fa10-01-77,2010-11-04 12:38:54,,
call,out,fa10-01-77,2010-11-06 11:25:04,,
call,in,4bc38db137263ed3f5aee1fa72b9ae1aa2853c50,2010-11-06 10:05:07,,
