interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,in,fa10-01-60,2010-10-14 07:50:33,,
call,out,fa10-01-60,2010-10-14 07:45:48,,
call,out,fa10-01-60,2010-10-18 15:56:19,,
call,in,fa10-01-60,2010-10-18 15:55:57,,
call,in,fa10-01-60,2010-10-18 15:54:06,,
call,out,fa10-01-60,2010-10-18 15:54:04,,
call,out,fa10-01-60,2010-10-18 15:53:15,,
call,in,fa10-01-60,2010-10-18 15:53:06,,
call,in,fa10-01-60,2010-10-18 15:52:21,,
text,in,ec7f1f65067126f3b2bd1037de8a18d0db2ec84b,2010-10-15 17:33:57,,
text,in,fa10-01-60,2010-10-26 19:38:27,,
text,in,fa10-01-60,2010-11-08 16:52:39,,
text,in,1f8267156da4be53e81072fd0ed656bcf1675bcb,2010-11-27 20:09:30,,
