interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,in,e4d4ab29b49d2e7b84f18a29f52f9fc617f7c01d,2010-07-24 12:36:47,,
call,out,sp10-01-16,2010-07-23 18:54:36,,
call,out,sp10-01-16,2010-07-24 12:39:22,,
call,in,e4d4ab29b49d2e7b84f18a29f52f9fc617f7c01d,2010-07-24 20:00:31,,
call,in,e4d4ab29b49d2e7b84f18a29f52f9fc617f7c01d,2010-07-24 21:44:13,,
call,in,sp10-01-16,2010-07-25 16:36:16,,
call,in,sp10-01-16,2010-07-25 17:46:35,,
call,in,sp10-01-16,2010-07-25 18:14:51,,
call,in,a82c3ee109092d86ac95f69296ccb09ec5171125,2010-07-26 12:56:50,,
call,in,a82c3ee109092d86ac95f69296ccb09ec5171125,2010-07-26 13:05:40,,
call,in,sp10-01-16,2010-07-26 18:34:10,,
call,in,sp10-01-16,2010-07-27 09:03:17,,
call,out,sp10-01-16,2010-07-27 19:37:13,,
call,out,d129fc55ef3134d5e5c6b6f69d0bad12084106d7,2010-07-27 22:08:32,,
call,out,sp10-01-16,2010-07-28 00:20:47,,
call,out,a82c3ee109092d86ac95f69296ccb09ec5171125,2010-07-30 12:40:33,,
call,in,sp10-01-16,2010-07-30 18:24:57,,
call,out,sp10-01-16,2010-07-30 18:26:44,,
call,out,sp10-01-16,2010-07-31 20:53:11,,
call,in,sp10-01-16,2010-08-01 12:57:38,,
call,in,sp10-01-16,2010-08-02 19:10:59,,
call,out,sp10-01-16,2010-08-03 15:20:18,,
call,out,sp10-01-16,2010-08-04 19:22:32,,
call,in,sp10-01-16,2010-08-04 19:54:01,,
call,in,sp10-01-16,2010-08-04 19:55:10,,
call,out,sp10-01-16,2010-08-05 19:19:44,,
call,out,sp10-01-16,2010-08-06 11:58:48,,
call,out,sp10-01-16,2010-08-07 12:54:04,,
call,in,sp10-01-16,2010-08-07 12:56:12,,
call,in,e4d4ab29b49d2e7b84f18a29f52f9fc617f7c01d,2010-08-07 19:55:29,,
call,in,e4d4ab29b49d2e7b84f18a29f52f9fc617f7c01d,2010-08-07 19:59:55,,
call,in,sp10-01-16,2010-08-08 00:51:14,,
call,in,sp10-01-16,2010-08-08 20:10:12,,
